page,car_type,car_name,year,mileage,transmission,fuel,price,location,brand,model,car_url,image_url,scraped_at
1,new,Kia K3 2025,2025,0 KM,Automatic,Gas,"1,320,000 EGP",,Kia,K3,https://eg.hatla2ee.com/en/new-car/kia/K3/unit/7210737,https://legion-images.hatla2ee.com/listing_image/ba5f89cf-cc16-4630-a901-81cf0d82e455/medium.jpg,2026-04-30 14:20:29
1,new,Hyundai Elantra 2025,2025,0 KM,Automatic,Gas,"1,340,000 EGP",,Hyundai,Elantra,https://eg.hatla2ee.com/en/new-car/hyundai/elantra/unit/7210733,https://legion-images.hatla2ee.com/listing_image/2905f224-2cc9-4adf-9855-3c50eb7f1d6a/medium.jpg,2026-04-30 14:20:30
1,new,Byd Qin 2025,2025,0 KM,Automatic,Hybrid,"1,200,000 EGP",,Byd,Qin,https://eg.hatla2ee.com/en/new-car/byd/Qin/unit/7210732,https://legion-images.hatla2ee.com/listing_image/a22f8160-2241-4f7a-b9d6-0d6378ae8eb4/medium.jpg,2026-04-30 14:20:31
1,new,Hyundai Santa Fe 2025,2025,0 KM,Automatic,Hybrid,"3,495,000 EGP",,Hyundai,Santa Fe,https://eg.hatla2ee.com/en/new-car/hyundai/santa-fe/unit/7194650,https://legion-images.hatla2ee.com/listing_image/029a17ef-65ea-4fe8-8e15-43c4138346cb/medium.jpg,2026-04-30 14:20:31
1,new,MG HS 2026,2026,0 KM,Automatic,Gas,"1,750,000 EGP",,MG,HS,https://eg.hatla2ee.com/en/new-car/moris-garage/MG-HS/unit/7157462,https://legion-images.hatla2ee.com/listing_image/ca4442df-2a1c-4185-9e5f-1614eb9373a0/medium.jpg,2026-04-30 14:20:33
1,new,Suzuki Pickup 2026,2026,0 KM,Automatic,Gas,"575,000 EGP",,Suzuki,Pickup,https://eg.hatla2ee.com/en/new-car/suzuki/suzuki-pickup/unit/42774,https://legion-images.hatla2ee.com/listing_image/0691e043-2b55-4d1e-8cae-b700ddcc66d4/medium.jpg,2026-04-30 14:20:33
1,new,Avatr 12 2025,2025,0 KM,Automatic,Hybrid,"3,300,000 EGP",,Avatr,12,https://eg.hatla2ee.com/en/new-car/avatr/avatr-12/unit/7189094,https://legion-images.hatla2ee.com/listing_image/0ba02724-7470-4f66-933a-a74fb0befe62/medium.jpg,2026-04-30 14:20:33
1,new,Byd Leopard 7 2025,2025,0 KM,Automatic,Hybrid,"2,950,000 EGP",,Byd,Leopard 7,https://eg.hatla2ee.com/en/new-car/byd/leopard-7/unit/7188005,https://legion-images.hatla2ee.com/listing_image/5f0f84ff-0f4c-45d8-b3f6-8547e2c63a82/medium.jpg,2026-04-30 14:20:34
1,new,Rox 01 2025,2025,0 KM,Automatic,Electric,"3,850,000 EGP",,Rox,01,https://eg.hatla2ee.com/en/new-car/rox/rox-01/unit/7183031,https://legion-images.hatla2ee.com/listing_image/7f482918-0685-47fa-87f0-15364055d488/medium.jpg,2026-04-30 14:20:35
1,new,Hyundai I30 2026,2026,0 KM,Automatic,Gas,"1,150,000 EGP",,Hyundai,I30,https://eg.hatla2ee.com/en/new-car/hyundai/i30/unit/7194534,https://legion-images.hatla2ee.com/listing_image/67e8dcf2-870a-4e52-8120-f58e6b12d5ff/medium.jpg,2026-04-30 14:20:35
1,new,Nissan Sunny 2026,2026,0 KM,Automatic,Gas,"725,000 EGP",,Nissan,Sunny,https://eg.hatla2ee.com/en/new-car/nissan/sunny/unit/7194374,https://legion-images.hatla2ee.com/listing_image/1e63ae87-c212-47f9-8baf-7c7155084052/medium.jpg,2026-04-30 14:20:35
1,new,Hyundai Santa Fe 2025,2025,0 KM,Automatic,Hybrid,"3,485,000 EGP",,Hyundai,Santa Fe,https://eg.hatla2ee.com/en/new-car/hyundai/santa-fe/unit/7204858,https://legion-images.hatla2ee.com/listing_image/741ce04c-eca0-4977-a06b-2dd05cf97324/medium.jpg,2026-04-30 14:20:36
1,new,Exeed VX 2025,2025,0 KM,Automatic,Gas,"2,530,000 EGP",,Exeed,VX,https://eg.hatla2ee.com/en/new-car/exeed/VX/unit/7204898,https://legion-images.hatla2ee.com/listing_image/5f8272e5-7ed8-47a1-863f-cb98dfb507a9/medium.jpg,2026-04-30 14:20:37
1,new,Jetour T2 2026,2026,0 KM,Automatic,Gas,"2,080,000 EGP",,Jetour,T2,https://eg.hatla2ee.com/en/new-car/jetour/T2/unit/7210722,https://legion-images.hatla2ee.com/listing_image/299c6646-fd72-4ad1-b0f2-7d92a8b84797/medium.jpg,2026-04-30 14:20:38
1,new,Jac S2 2026,2026,0 KM,Automatic,Gas,"775,000 EGP",,Jac,S2,https://eg.hatla2ee.com/en/new-car/jac/s2/unit/7204870,https://legion-images.hatla2ee.com/listing_image/69c0bea8-d860-4b92-9215-0fa31a39fc95/medium.jpg,2026-04-30 14:20:38
1,new,Jaguar F-Pace 2025,2025,0 KM,Automatic,Gas,"4,950,000 EGP",,Jaguar,F-Pace,https://eg.hatla2ee.com/en/new-car/jaguar/f-pace/unit/7210744,https://legion-images.hatla2ee.com/listing_image/3710ee77-ac5c-4285-8a03-4cfc52afd950/medium.jpg,2026-04-30 14:20:39
1,new,Seat Leon 2026,2026,0 KM,Automatic,Gas,"1,610,000 EGP",,Seat,Leon,https://eg.hatla2ee.com/en/new-car/seat/leon/unit/7210731,https://legion-images.hatla2ee.com/listing_image/73522339-12e1-48ff-ae7b-3a32a8fa424d/medium.jpg,2026-04-30 14:20:41
1,new,Hyundai Elantra 2025,2025,0 KM,Automatic,Electric,"1,000,000 EGP",,Hyundai,Elantra,https://eg.hatla2ee.com/en/new-car/hyundai/elantra/unit/7193546,https://legion-images.hatla2ee.com/listing_image/f6643b59-2760-407b-886b-9d1f01aa19b0/medium.jpg,2026-04-30 14:20:45
2,new,Mercedes EQA 260 2025,2025,0 KM,Automatic,Electric,"2,225,000 EGP",,Mercedes,EQA 260,https://eg.hatla2ee.com/en/new-car/mercedes/mercedes-benz-eqa-260/unit/7184289,https://legion-images.hatla2ee.com/listing_image/79900ae3-5e01-42cc-aba2-a65efff2fd05/medium.jpg,2026-04-30 14:20:53
2,new,Mercedes GLC 43 2026,2026,0 KM,Automatic,Gas,"7,500,000 EGP",,Mercedes,GLC 43,https://eg.hatla2ee.com/en/new-car/mercedes/mercedes-benz-glc-43/unit/7198776,https://legion-images.hatla2ee.com/listing_image/863a8c79-d8dc-4655-9c8c-3a298a4dea06/medium.jpg,2026-04-30 14:20:55
2,new,Renault Kardian 2026,2026,0 KM,Automatic,Gas,"920,000 EGP",,Renault,Kardian,https://eg.hatla2ee.com/en/new-car/renault/Kardian/unit/7134329,https://legion-images.hatla2ee.com/listing_image/fdb1ae4a-7bda-49ab-a952-4fa9522ab59c/medium.jpg,2026-04-30 14:20:55
2,new,Chery Tiggo 8 2026,2026,0 KM,Automatic,Gas,"1,155,000 EGP",,Chery,Tiggo 8,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8/unit/7141103,https://legion-images.hatla2ee.com/listing_image/08676c81-d158-4aa7-8a94-c684efa522d7/medium.jpg,2026-04-30 14:20:56
2,new,Jetour Dashing 2026,2026,0 KM,Automatic,Gas,"1,410,000 EGP",,Jetour,Dashing,https://eg.hatla2ee.com/en/new-car/jetour/Dashing/unit/7210720,https://legion-images.hatla2ee.com/listing_image/09897266-f83c-424a-9473-90f44d876955/medium.jpg,2026-04-30 14:20:56
2,new,Kia Sorento 2025,2025,0 KM,Automatic,Hybrid,"3,400,000 EGP",,Kia,Sorento,https://eg.hatla2ee.com/en/new-car/kia/sorento/unit/7194574,https://legion-images.hatla2ee.com/listing_image/7ec640e5-cc34-4345-9637-f07fcc5858b0/medium.jpg,2026-04-30 14:20:57
2,new,Renault Kardian 2026,2026,0 KM,Automatic,Gas,"930,000 EGP",,Renault,Kardian,https://eg.hatla2ee.com/en/new-car/renault/Kardian/unit/7210719,https://legion-images.hatla2ee.com/listing_image/c93b1abc-d6e0-448f-8bc5-4f24a8c2f694/medium.jpg,2026-04-30 14:20:58
2,new,Jac J7 2025,2025,0 KM,Automatic,Gas,"978,000 EGP",,Jac,J7,https://eg.hatla2ee.com/en/new-car/jac/J7/unit/7204892,https://legion-images.hatla2ee.com/listing_image/650667df-fb46-414c-8e34-d37f6923d799/medium.jpg,2026-04-30 14:20:58
2,new,Xiaomi Yu7 2025,2025,0 KM,Automatic,Electric,"3,250,000 EGP",,Xiaomi,Yu7,https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7196812,https://legion-images.hatla2ee.com/listing_image/b3599fdb-a8ef-4ecc-9429-1600b27e5d93/medium.jpg,2026-04-30 14:20:59
2,new,Xiaomi Yu7 2025,2025,0 KM,Automatic,Electric,"3,800,000 EGP",,Xiaomi,Yu7,https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7200083,https://legion-images.hatla2ee.com/listing_image/02118393-f20b-4fc4-910e-416cbadc89cc/medium.jpg,2026-04-30 14:20:59
